,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.15,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.1
lifting,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
running,0.0,0.07692307692307693,0.0,0.0,0.46153846153846156,0.23076923076923078,0.0,0.0,0.15384615384615385,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.16666666666666666,0.08333333333333333
swinging,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.1,0.05,0.0
swinging-bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.09090909090909091,0.3181818181818182,0.4090909090909091
