,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.15,0.0,0.05,0.35,0.1,0.0,0.0,0.35,0.0
lifting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.23076923076923078,0.15384615384615385
skateboarding,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.16666666666666666,0.08333333333333333
swinging,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.0,0.0,0.46153846153846156,0.0,0.15384615384615385,0.38461538461538464,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.0,0.0,0.045454545454545456,0.0,0.0,0.13636363636363635,0.0,0.0,0.6363636363636364,0.18181818181818182
