,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,0.6428571428571429,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0
kicking,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.05,0.25,0.0
lifting,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333
running,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.0,0.15384615384615385,0.3076923076923077
skateboarding,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666
swinging,0.1,0.15,0.0,0.25,0.0,0.35,0.0,0.15,0.0,0.0
swinging-bar,0.0,0.5384615384615384,0.0,0.07692307692307693,0.0,0.38461538461538464,0.0,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.6363636363636364,0.18181818181818182
