,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.6,0.05,0.0,0.0,0.0,0.0,0.05,0.25,0.05
lifting,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333
running,0.0,0.23076923076923078,0.0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.0,0.15384615384615385,0.15384615384615385
skateboarding,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5833333333333334
swinging,0.05,0.2,0.0,0.05,0.0,0.5,0.0,0.05,0.15,0.0
swinging-bar,0.0,0.15384615384615385,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.0,0.13636363636363635,0.0,0.5909090909090909,0.13636363636363635
