,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.55,0.0,0.05,0.1,0.05,0.0,0.0,0.25,0.0
lifting,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
running,0.0,0.0,0.07692307692307693,0.0,0.6153846153846154,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.08333333333333333
swinging,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.0,0.0,0.0,0.0,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.0,0.36363636363636365,0.36363636363636365
