,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.05
lifting,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.0,0.0,0.0,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0
skateboarding,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333
swinging,0.05,0.0,0.0,0.85,0.05,0.0,0.05,0.0,0.0,0.0
swinging-bar,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.0,0.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.45454545454545453,0.2727272727272727
