,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,0.9285714285714286,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
kicking,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
lifting,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0,0.0
running,0.0,0.38461538461538464,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078
skateboarding,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666
swinging,0.0,0.7,0.0,0.05,0.1,0.15,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.4090909090909091
